20257	53469
1609	47292
33685	1462
48418	38042
47782	45331
33623	47390
44068	5302
47549	23560
7023	19841
2131	33972
56599	56277
42102	48280
2355	62996
62113	12783
60874	53112
47698	34698
51840	46672
22348	27035
1695	31931
33386	23636
4017	1853
3589	64172
53272	7155
32200	62872
14762	12664
33067	46267
8521	17046
4509	62196
22633	54089
25000	35211
37757	65131
57249	26275
32162	4334
20431	10371
55171	14293
56979	32371
36343	45583
48405	10789
52145	5955
14549	605
4184	63852
52044	44297
38328	9498
47545	25443
52566	35848
42306	30172
45485	26213
56716	10518
34839	46585
20699	58055
23067	53599
24826	54288
31318	5017
39532	24890
19816	20024
39391	48129
25716	9962
18348	62706
39238	15218
1454	47361
39344	19977
4052	33578
35132	49933
25726	63828
53600	35470
62344	53350
58356	64717
10818	51365
48455	53818
24930	59739
32787	55345
49079	24363
48489	44115
45860	21365
10803	38987
9235	16470
1235	57279
47902	45175
64295	25081
23278	32270
53180	33164
28317	37000
48405	56301
22661	17325
57692	46103
51353	19876
33086	45768
56619	40922
16925	744
32379	59899
58174	33826
56277	7544
26300	36762
33397	58117
36280	53658
40400	28516
60639	41006
43375	15140
58620	18983
3818	46388
40129	41821
46839	59941
49785	36131
47679	22151
31095	22629
3327	39027
6606	45317
46377	2197
4985	37885
39453	54605
25557	50904
53431	745
16495	41235
11376	64484
51618	62001
6209	63561
12692	19660
55050	57263
7929	9331
22593	6083
3747	17369
46868	12959
42529	2194
20022	53114
50857	65426
1536	39861
27750	845
51274	36273
11844	60425
38918	12435
11838	55578
51343	53508
58513	42693
1191	12407
40836	15640
41975	2380
15006	17775
3281	44303
19585	48190
37082	65022
30452	12856
26951	5430
43335	44853
1451	26539
61020	42015
37355	6423
5225	56063
15751	48451
25912	6657
30375	37036
8229	57710
57324	30435
29513	17394
56832	35770
5334	55487
47673	28803
25051	59644
56051	64270
19201	40991
59396	64216
19703	16697
25676	10904
30643	32980
52167	17075
34461	15442
58156	16047
52326	57942
58190	9934
50622	46602
10373	1492
34811	43696
14944	60516
33929	21871
22675	51784
22027	17098
55652	30374
40961	2002
31419	20320
60580	51881
19747	43224
37205	17202
2187	22036
6736	38013
36797	14686
1042	12892
65423	47482
50106	59138
49720	2353
53609	3907
44458	23231
61607	1660
21967	4813
6680	53673
30506	50073
36480	58052
1411	57915
23605	52081
4455	42404
56081	24266
50173	32394
36600	20120
35537	45620
54677	33571
33840	34002
578	59699
22289	126
20	50952
931	61046
17797	495
18841	28161
38938	64639
52937	26039
3547	18707
53304	31599
49182	9385
46119	23916
11444	14242
36939	13139
50806	38573
61508	14761
42186	15685
9837	46534
27924	20907
62460	56096
46589	57437
36746	41521
55195	13718
1158	20900
33408	17433
29510	18991
12649	2410
7373	20016
45777	5993
15811	54672
13236	14205
26035	18912
26439	40679
53891	51308
51363	52804
48901	10725
37755	49284
47117	16315
47848	39632
27616	26052
6186	5993
53187	5081
30951	22966
63300	58121
17613	28811
20074	22991
38098	26357
35783	42011
25401	40708
21767	6246
39498	57396
14321	64096
43480	13247
28819	30259
39366	48077
62661	51825
26060	40901
13934	39978
50138	9464
16700	23684
59253	65236
2955	48321
52722	43201
39710	36865
59592	58017
47538	25752
57510	47643
22906	37829
6506	485
50773	38442
55498	62376
56912	25073
19066	65415
20316	52497
2120	54476
6242	47592
40587	33230
58690	3697
26915	25765
23040	13129
30254	16693
17463	47898
23711	50053
30007	4075
36763	51322
30360	43956
15327	62598
63442	55578
9444	26258
4120	49933
61168	2695
27481	60916
33600	62859
53288	37250
61971	51737
64012	18810
50850	54796
48611	27983
1419	13925
63673	36632
11337	5165
47925	49392
57963	26725
56205	22289
40467	53209
36481	55337
26140	41701
29318	64595
59578	62885
25888	9225
24966	22893
28006	43569
22428	65118
24952	17230
51337	35445
9860	5702
18265	62378
18472	35077
20927	57941
37412	35644
52985	4848
64124	22709
55561	31215
9260	17749
3505	34874
65059	28523
19203	22930
11459	63790
40502	62394
64386	60705
32964	42115
25765	63511
58580	54357
23753	23973
30069	30696
11262	16743
31733	40344
10974	1416
24339	39315
3816	60836
13096	56907
51530	59447
37243	7204
55443	23378
59501	14142
7098	46869
28177	47477
28124	54797
8231	41288
8134	17657
41513	28562
31655	62349
715	3597
44790	24434
15122	38870
36005	2119
18915	7861
1118	21820
39239	45896
44192	57359
3666	5867
50637	37778
26125	63171
42849	27512
53411	24929
28577	45275
50804	62414
13475	54200
42270	3256
28401	38000
56768	36969
1460	58547
51767	14166
48277	2065
32666	59986
52225	61005
11765	39941
35894	48359
30459	2009
12826	12695
32225	14628
2929	3097
46126	16118
8377	28936
19540	2066
2021	42047
33790	52397
8981	16233
2340	2061
8205	26525
620	56985
19793	2920
16091	46107
16295	47054
50150	51245
22255	11600
63535	6733
11874	18604
11055	55102
38791	906
41737	33879
57690	5016
20006	53217
43715	58419
16697	50101
2211	46620
21116	58637
52266	19831
4014	43057
30614	57297
779	7015
44056	13326
57725	16370
9328	35150
39577	57977
11712	24672
10511	34136
61954	1700
30818	47236
47124	45076
61359	43833
8897	11098
38553	10469
52541	48143
32453	32201
33976	41731
55887	12411
57262	32179
52797	10772
37565	37936
62079	41738
19790	19967
3744	38720
6606	9022
61515	7726
30374	33771
39193	28138
9577	64481
49818	40361
58463	33758
32647	38052
22332	18689
55660	20376
28619	48790
49323	44459
21795	43301
52600	54365
982	51333
62633	30298
20148	53617
46231	63623
46824	49376
24790	12977
4188	51767
34826	13010
39582	43431
60049	50826
28226	36085
60077	48306
58478	27924
54214	1919
3046	541
36005	12798
29104	7832
52427	61609
20667	14922
39204	36891
14786	30772
40453	44872
19507	16574
19040	58338
8530	34205
12193	55859
6670	40742
51548	8961
54185	50407
59357	37676
43496	31080
59351	62300
38989	39449
50507	64681
50643	14417
23241	23794
4444	54743
2140	2972
14161	18465
30005	50731
55532	56719
46101	23403
23793	8529
56957	37769
1445	43904
53864	34246
40075	44278
57489	36351
27573	47182
31379	45864
55764	14790
15658	12653
20624	39787
8162	41637
9294	29822
62282	41524
16079	57647
42061	37317
1765	24283
140	32333
4309	9947
12790	18741
53118	9082
64551	42115
14481	35868
41553	3923
13387	10682
9712	63081
47458	14824
411	56241
18469	35081
32675	43552
12970	52117
14231	6895
51333	19771
60399	45077
21410	26296
49197	6627
63170	19852
33596	28394
39909	55965
28360	9413
15488	41470
54654	31817
58683	53046
21366	54818
16309	21397
24126	63974
24533	31588
5624	59357
11696	49485
64144	16284
29326	55898
64497	1268
15529	59585
57640	19840
48589	6686
12039	21321
59033	21083
37765	34452
51557	58129
31248	33878
34907	64857
64252	36568
5555	59669
33782	39246
43716	58258
